PIN,MONTH,NFW,NPD
22014-CM-001,dec,10,10
22014-CM-002,dec,10,1
22014-CM-003,dec,10,1
22014-CM-004,dec,10,2
22014-CM-005,dec,10,5
22014-CM-006,dec,10,7
22014-CM-007,dec,10,1
22014-CM-008,dec,10,10
22014-CM-009,dec,10,10
22014-CM-010,dec,10,10
22014-CM-011,dec,10,4
22014-CM-012,dec,10,7
22014-CM-013,dec,10,6
22014-CM-014,dec,10,1
22014-CM-015,dec,10,1
22014-CM-016,dec,10,10
22014-CM-017,dec,10,4
22014-CM-018,dec,10,1
22014-CM-019,dec,10,8
22014-CM-020,dec,10,3
22014-CM-021,dec,10,6
22014-CM-022,dec,10,0
22014-CM-023,dec,10,9
22014-CM-025,dec,10,6
22014-CM-026,dec,10,7
22014-CM-027,dec,10,9
22014-CM-028,dec,10,4
22014-CM-029,dec,10,2
22014-CM-030,dec,10,10
22014-CM-031,dec,10,1
22014-CM-032,dec,10,2
22014-CM-033,dec,10,1
22014-CM-034,dec,10,3
22014-CM-035,dec,10,4
22014-CM-036,dec,10,5
22014-CM-037,dec,10,9
22014-CM-038,dec,10,9
22014-CM-040,dec,10,9
22014-CM-041,dec,10,7
22014-CM-042,dec,10,5
22014-CM-043,dec,10,3
22014-CM-044,dec,10,8
22014-CM-045,dec,10,9
22014-CM-046,dec,10,1
22014-CM-047,dec,10,4
22014-CM-048,dec,10,4
22014-CM-049,dec,10,9
22014-CM-050,dec,10,3
22014-CM-051,dec,10,0
22014-CM-052,dec,10,1
22014-CM-053,dec,10,9
22014-CM-054,dec,10,8
22014-CM-055,dec,10,2
22014-CM-056,dec,10,8
22014-CM-057,dec,10,1
22014-CM-058,dec,10,7
22014-CM-059,dec,10,1
22014-CM-060,dec,10,3
22014-CM-061,dec,10,7
22014-CM-062,dec,10,9
22014-CM-064,dec,10,6
22014-CM-065,dec,10,8
22155-CM-047,dec,10,6
