pin,semister,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
21014-CM-001,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-002,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-003,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-004,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-005,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-006,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-007,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-008,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-009,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-010,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-011,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-012,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-013,1,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-014,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-015,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-016,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-017,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-018,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-019,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-020,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-021,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-022,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-023,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-024,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-025,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-026,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-027,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-028,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-029,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-030,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-031,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-032,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-033,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-034,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-035,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-036,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-037,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-038,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-039,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-040,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-041,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-042,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-043,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-044,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-045,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-046,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-047,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-048,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-049,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-050,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-051,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-052,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-053,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-054,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-055,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-056,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-057,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-058,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-059,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-060,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-061,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-062,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-063,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-064,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-065,3,100,99,98,89,90,87,97,99,95,94,83,90
21014-CM-066,3,100,99,98,89,90,87,97,99,95,94,83,90
